states,states_code,id,year,population,pop_growth
Hawaii,HA,15,2016,1427559,0.387257287
Hawaii,HA,15,2017,1424393,-0.221777173
Hawaii,HA,15,2018,1420593,-0.266780306
Hawaii,HA,15,2019,1415872,-0.332326008
Idaho,ID,16,2010,1570746,
Idaho,ID,16,2011,1583910,0.838073119
Idaho,ID,16,2012,1595324,0.720621752
Idaho,ID,16,2013,1611206,0.995534449
Idaho,ID,16,2014,1631112,1.235472063
Idaho,ID,16,2015,1651059,1.222908053
Idaho,ID,16,2016,1682380,1.897024879
Idaho,ID,16,2017,1717715,2.100298387
Idaho,ID,16,2018,1750536,1.910736065
Idaho,ID,16,2019,1787065,2.086732292
Illinois,IL,17,2010,12840503,
Illinois,IL,17,2011,12867454,0.209890532
Illinois,IL,17,2012,12882510,0.117008384
Illinois,IL,17,2013,12895129,0.097954514
Illinois,IL,17,2014,12884493,-0.082480757
Illinois,IL,17,2015,12858913,-0.198533229
Illinois,IL,17,2016,12820527,-0.298516679
Illinois,IL,17,2017,12778828,-0.32525184
Illinois,IL,17,2018,12723071,-0.436323268
Illinois,IL,17,2019,12671821,-0.402811554
Indiana,IN,18,2010,6490432,
Indiana,IN,18,2011,6516528,0.402068768
Indiana,IN,18,2012,6537703,0.324942976
Indiana,IN,18,2013,6568713,0.474325616
Indiana,IN,18,2014,6593644,0.379541624
Indiana,IN,18,2015,6608422,0.22412493
Indiana,IN,18,2016,6634304,0.391651744
Indiana,IN,18,2017,6658078,0.358349572
Indiana,IN,18,2018,6695497,0.562009036
Indiana,IN,18,2019,6732219,0.548458165
Iowa,IA,19,2010,3050745,
Iowa,IA,19,2011,3066336,0.511055496
Iowa,IA,19,2012,3076190,0.321360738
Iowa,IA,19,2013,3092997,0.54635767
Iowa,IA,19,2014,3109350,0.528710503
Iowa,IA,19,2015,3120960,0.373389937
Iowa,IA,19,2016,3131371,0.333583256
Iowa,IA,19,2017,3141550,0.325065283
Iowa,IA,19,2018,3148618,0.224984482
Iowa,IA,19,2019,3155070,0.204915299
Kansas,KS,20,2010,2858190,
Kansas,KS,20,2011,2869225,0.3860835
Kansas,KS,20,2012,2885257,0.558757156
Kansas,KS,20,2013,2893212,0.275712008
Kansas,KS,20,2014,2900475,0.251035873
Kansas,KS,20,2015,2909011,0.294296624
Kansas,KS,20,2016,2910844,0.063011106
Kansas,KS,20,2017,2908718,-0.073037236
Kansas,KS,20,2018,2911359,0.090796014
Kansas,KS,20,2019,2913314,0.06715077
Kentucky,KY,21,2010,4348181,
Kentucky,KY,21,2011,4369821,0.497679374
Kentucky,KY,21,2012,4386346,0.378161943
Kentucky,KY,21,2013,4404659,0.417500124
Kentucky,KY,21,2014,4414349,0.219994329
Kentucky,KY,21,2015,4425976,0.263391046
Kentucky,KY,21,2016,4438182,0.27578098
Kentucky,KY,21,2017,4452268,0.317382207
Kentucky,KY,21,2018,4461153,0.199561212
Kentucky,KY,21,2019,4467673,0.146150558
Louisiana,LA,22,2010,4544532,
Louisiana,LA,22,2011,4575625,0.684184862
Louisiana,LA,22,2012,4600972,0.55395711
Louisiana,LA,22,2013,4624527,0.511957039
Louisiana,LA,22,2014,4644013,0.421362012
Louisiana,LA,22,2015,4664628,0.443904873
Louisiana,LA,22,2016,4678135,0.289562212
Louisiana,LA,22,2017,4670560,-0.161923502
Louisiana,LA,22,2018,4659690,-0.232734404
Louisiana,LA,22,2019,4648794,-0.233835298
Maine,ME,23,2010,1327629,
Maine,ME,23,2011,1328284,0.049336072
Maine,ME,23,2012,1327729,-0.041783233
Maine,ME,23,2013,1328009,0.021088641
Maine,ME,23,2014,1330513,0.188552939
Maine,ME,23,2015,1328262,-0.169182864
Maine,ME,23,2016,1331317,0.229999804
Maine,ME,23,2017,1334612,0.247499281
Maine,ME,23,2018,1339057,0.3330556
Maine,ME,23,2019,1344212,0.38497241
Maryland,MD,24,2010,5788645,
Maryland,MD,24,2011,5839419,0.877131004
Maryland,MD,24,2012,5886992,0.814687215
Maryland,MD,24,2013,5923188,0.614847107
Maryland,MD,24,2014,5957283,0.575619075
Maryland,MD,24,2015,5985562,0.474696267
Maryland,MD,24,2016,6003323,0.2967307
Maryland,MD,24,2017,6023868,0.34222713
Maryland,MD,24,2018,6035802,0.198111911
Maryland,MD,24,2019,6045680,0.163656793
Massachusetts,MA,25,2010,6566307,
Massachusetts,MA,25,2011,6613583,0.719978521
Massachusetts,MA,25,2012,6663005,0.747280256
Massachusetts,MA,25,2013,6713315,0.755064719
Massachusetts,MA,25,2014,6762596,0.734078469
Massachusetts,MA,25,2015,6794228,0.467749367
Massachusetts,MA,25,2016,6823608,0.432425877
Massachusetts,MA,25,2017,6859789,0.530232686
Massachusetts,MA,25,2018,6882635,0.333042314
Massachusetts,MA,25,2019,6892503,0.143375321
Michigan,MI,26,2010,9877510,
Michigan,MI,26,2011,9882412,0.049627892
Michigan,MI,26,2012,9897145,0.149083038
Michigan,MI,26,2013,9913065,0.160854469
Michigan,MI,26,2014,9929848,0.169301825
Michigan,MI,26,2015,9931715,0.018801899
Michigan,MI,26,2016,9950571,0.189856435
Michigan,MI,26,2017,9973114,0.226549813
Michigan,MI,26,2018,9984072,0.109875411
Michigan,MI,26,2019,9986857,0.02789443
Minnesota,MN,27,2010,5310828,
Minnesota,MN,27,2011,5346143,0.664962224
Minnesota,MN,27,2012,5376643,0.570504755
Minnesota,MN,27,2013,5413479,0.685111509
Minnesota,MN,27,2014,5451079,0.694562591
Minnesota,MN,27,2015,5482032,0.567832534
Minnesota,MN,27,2016,5522744,0.742644333
Minnesota,MN,27,2017,5566230,0.787398438
Minnesota,MN,27,2018,5606249,0.718960589
Minnesota,MN,27,2019,5639632,0.59546053
Mississippi,MS,28,2010,2970548,
Mississippi,MS,28,2011,2978731,0.275471058
Mississippi,MS,28,2012,2983816,0.170710279
Mississippi,MS,28,2013,2988711,0.164051671
Mississippi,MS,28,2014,2990468,0.058787885
Mississippi,MS,28,2015,2988471,-0.066778845
Mississippi,MS,28,2016,2987938,-0.017835207
Mississippi,MS,28,2017,2988510,0.019143637
Mississippi,MS,28,2018,2981020,-0.250626566
Mississippi,MS,28,2019,2976149,-0.163400447
Missouri,MO,29,2010,5995974,
Missouri,MO,29,2011,6010275,0.23851004
Missouri,MO,29,2012,6024367,0.234465145
Missouri,MO,29,2013,6040715,0.27136461
Missouri,MO,29,2014,6056202,0.256376936
Missouri,MO,29,2015,6071732,0.256431341
Missouri,MO,29,2016,6087135,0.253683792
Missouri,MO,29,2017,6106670,0.320922733
Missouri,MO,29,2018,6121623,0.244863403
Missouri,MO,29,2019,6137428,0.258183165
Montana,MT,30,2010,990697,
Montana,MT,30,2011,997316,0.668115478
Montana,MT,30,2012,1003783,0.648440414
Montana,MT,30,2013,1013569,0.974911908
Montana,MT,30,2014,1021869,0.818888502
